street name,max_sale_amount,avg_sale_amount,num_of_sales,total_sale_amount
1016 N CLEVELAND ST,950000,950000.0,1,950000
1016 N KENNEBEC ST,1150000,1150000.0,1,1150000
1016 N KENNESAW ST,0,0.0,1,0
1016 N LIBERTY ST,925000,925000.0,1,925000
1016 N MONROE ST,870000,870000.0,1,870000
1016 N QUANTICO ST,940000,940000.0,1,940000
1016 S TAYLOR CT,801137,200284.25,4,801137
1016 S WAYNE ST #109,0,0.0,1,0
1016 S WAYNE ST 0110,690000,345000.0,2,690000
1016 S WAYNE ST 0203,10,10.0,1,10
1016 S WAYNE ST 0206,384900,128300.0,3,384900
1016 S WAYNE ST 0209,0,0.0,1,0
1016 S WAYNE ST 0302,540000,540000.0,1,540000
1016 S WAYNE ST 0303,615000,615000.0,1,615000
1016 S WAYNE ST 0307,550000,550000.0,1,550000
1016 S WAYNE ST 0309,0,0.0,2,0
1016 S WAYNE ST 0401,389500,389500.0,1,389500
1016 S WAYNE ST 0403,580000,580000.0,1,580000
1016 S WAYNE ST 0404,0,0.0,1,0
1016 S WAYNE ST 0405,495000,247500.0,2,495000
1016 S WAYNE ST 0406,420000,420000.0,1,420000
1016 S WAYNE ST 0503,600000,300000.0,2,600000
1016 S WAYNE ST 0504,560000,560000.0,1,560000
1016 S WAYNE ST 0510,783000,783000.0,1,783000
1016 S WAYNE ST 0605,529900,132475.0,4,529900
1016 S WAYNE ST 0610,700000,175000.0,4,700000
1016 S WAYNE ST 0612,475000,475000.0,1,475000
1016 S WAYNE ST 0704,615000,615000.0,1,615000
1016 S WAYNE ST 0710,640000,640000.0,1,640000
1016 S WAYNE ST 0711,0,0.0,3,0
1016 S WAYNE ST 0801,0,0.0,1,0
1016 S WAYNE ST 0802,0,0.0,1,0
1016 S WAYNE ST 0805,534000,534000.0,1,534000
1016 S WAYNE ST 0812,454900,227450.0,2,454900
1016 S WAYNE ST 0902,560000,280000.0,2,560000
1016 S WAYNE ST 0905,0,0.0,1,0
1016 S WAYNE ST 0907,1273500,636750.0,2,1273500
1016 S WAYNE ST 0909,1330000,443333.3333333333,3,1330000
1016 S WAYNE ST 0910,0,0.0,1,0
1016 S WAYNE ST 1003,580000,290000.0,2,580000
1016 S WAYNE ST 1006,415000,415000.0,1,415000
1016 S WAYNE ST 1008,0,0.0,1,0
1016 S WAYNE ST 1009,795000,795000.0,1,795000
1016 S WAYNE ST T-01,0,0.0,1,0
1016 S WAYNE ST T-12,1016800,508400.0,2,1016800
1017 16th ST S,1585000,792500.0,2,1585000
1017 18th ST S,0,0.0,1,0
1017 21st ST S,1125000,1125000.0,1,1125000
1017 N DANVILLE ST,1144000,1144000.0,1,1144000
1017 N KENSINGTON ST,1020000,1020000.0,1,1020000
